firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
J-P-Morgan,44186, Associate,"Former Employee, more than 3 years",Mumbai,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work!,"Good work-life balance
Collaborative team members
Flat hierarchy
Good leadership team",Some managers who are picked from Service Industries have the attitude of micro-management
BT,42454, Anonymous Employee,Current Employee,,4,1.0,3.0,,3.0,4.0,2.0,o,o,r,BT Operations,Significant roles with wide responsibility,Overarching view of the business driven by the finance team hinders ambition
SAP,44110, Sales Director,"Current Employee, more than 8 years",,4,2.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Technology,Great portfolio that works well,Work life balance is a challenge
SAP,41758, Anonymous Employee,Current Employee,,5,,,,,,,o,o,o,Experience at SAP,"Excellent company, Employee friendly, amazing learning curve",not more.. sometimes freshers salary is considerably high compared to to senior
BNY-Mellon,43636, Anonymous Employee,"Current Employee, more than 1 year",,4,5.0,4.0,,4.0,4.0,4.0,v,v,v,Cash management rep,"Benefits, easy work, opportunities for growth",Parking downtown and  under paid
IBM,42354, ,Current Employee,Bangalore,3,5.0,3.0,,2.0,2.0,1.0,x,x,x,Staff software engineer,Excellent work life balance. Not much pressure. Can continue to work in same project for without any challenges forever.,Legacy technology and no break through ideas.
Deloitte,44024, Global Consulting Senior Manager,"Current Employee, more than 10 years",,5,3.0,4.0,,5.0,4.0,3.0,o,o,o,"Good employer, very competitive at the senior grades","Clever people, positive culture, lots of opportunities due to breadth of the company","Lots of travel, sometimes long work hours,"
EY,44152, Associate Consultant,"Current Employee, less than 1 year",Bangalore,1,2.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Stay Away,Trainings and certifications are good.,"Nothing other benefits, horrible mangers, no projects"
IBM,44154, Data Scientist,"Current Employee, more than 1 year",Bangalore,5,,,,,,,v,v,v,Data Science at IBM,Relaxed and comfortable job at IBM,"All good, no cons here"
University-of-Huddersfield,43650, Senior Lecturer,"Former Employee, more than 10 years","Huddersfield, England, England",2,1.0,2.0,,1.0,1.0,,x,o,r,Sadly pursuing ‘Russel Group’ pipe-dream,"Some lovely people there (students, academics and others)",No longer seems to value vocational focus that made it a great University. Terrible management culture that means no-one is developed and most former colleagues that I stay in touch with would love to leave!
Willis-Towers-Watson,43173, Analyst,"Former Employee, more than 1 year","London, England, England",4,5.0,5.0,,5.0,5.0,5.0,x,v,v,Analyst,Lots and lots of money.,Very time consuming and tiring
McDonald-s,43134, Crew Trainer,"Former Employee, more than 1 year","Lakeville, MN",2,1.0,3.0,,2.0,1.0,1.0,x,o,x,Good company if you want to make it your life,You could get as many hours and all the overtime you could ever dream of.,"Constantly being treated as a 3rd class citizen, expectations that you will work 50-60 hours some weeks, extremely unorganized management that all fights within itself."
IBM,42750, Analyst,Former Employee,Sydney,3,3.0,3.0,,3.0,2.0,2.0,v,x,r,Alright if you have the right manager,"Able to leverage expertise of colleagues globally, very strong knowledge driven culture, still a globally respected brand",Very political. Performance reviews are a complete waste of time and effort since the outcomes are predetermined. Bonuses are pathetic.
Bloomberg-L-P,43405, Data Analyst,"Former Employee, less than 1 year","London, England, England",3,3.0,4.0,,3.0,2.0,2.0,o,v,r,data analyst,"young environment, multi cultural atmosphere. good diversity","micromanagement, job quite dull. high demand of high delivery of grunt work"
Bayer,40444, ,Former Employee,"Morristown, NJ",3,3.0,,,4.0,4.0,4.0,o,r,o,Ok compared to many CPG firms,"Advancement opportunities, Benefits, Compensation, Good talent","Poor communication, Work and life balance missing"
RSM,43664, First Year Tax Associate,"Current Employee, less than 1 year",,3,3.0,3.0,,4.0,3.0,4.0,v,v,r,Great Company to start career,Great team to work with. There is opportunity for growth.,"Work-life balance is a no go here during busy season, but that's with any public accounting position. Salary is lower than expected."
Deloitte,44215, Anonymous Employee,Former Employee,Istanbul,3,1.0,2.0,2.0,4.0,2.0,1.0,x,o,x,Overtime,A good working environment and a corporate company,"Low salary, lots of overtime"
McDonald-s,42865, Anonymous Employee,Former Employee,,4,,,,,,,v,v,v,Crew member,"Good hours, Free lunch","Management, communication, short break, over-worked & no benefits"
KPMG,41443, Analyst,"Former Employee, less than 1 year",Pune,1,1.0,1.0,,1.0,1.0,1.0,x,x,x,"KPMG Verifications (Yerwada, Pune)",Nice employees to work with,"Employees are treated like robots, high work pressure, minimal pay. Randomly on Thursdays they announce that Saturday is working with no incentives/ bonus. You won't learn anything here and there's limited growth. It's really hard to switch into another department, feels like a call center. Although they won't label this office as a BPO, it's probably worse than working at a BPO. Oh, and if you're late to lunch, don't expect there to be any food left in the canteen."
Microsoft,42970, Anonymous Employee,Current Employee,,4,3.0,2.0,,4.0,4.0,2.0,o,o,o,Great Company and a big school,The amount of information and learning skills are very high,some politics they need to control and give a better atmosphere.
KPMG,43552, Audit Associate,"Current Employee, more than 3 years","London, England, England",2,1.0,2.0,,4.0,2.0,2.0,x,o,r,crazy hours but great learning opportunities,"great people to work with 
fast promotion","unreasonable hours
very pressured jobs with tight deadline"
Jaguar-Land-Rover,43375, Anonymous Employee,"Current Employee, more than 5 years",,1,1.0,1.0,,1.0,3.0,1.0,x,x,x,Assembly worker,Pay is the thing that traps people there.,"Land Rover solihull is an absolute discrace you cannot go to the toilet when you need to because you are told there is no cover for your job.
Managers will always look down on you and bully you into what they want you to do. For a 9 hour night shift you get 2 ten minuete breaks and one fifteen minuete break bearing in mind takes around 5 mins to walk to a toilet.
Bullying and discrimination is constant throughout the factory.
The disiplinary procedure is completely one-sided and is never compleated to correct standard. 
Overall the company is very poor management needs a serious change or change in direction or they will run company into the ground."
Google,44105, Looker Sales,"Current Employee, more than 1 year","San Francisco, CA",5,5.0,5.0,5.0,4.0,5.0,5.0,v,v,v,"Great company, great culture","Looker is a place that walks the walk in terms of their values. People are very smart and motivated, and they put a HUGE emphasis on work life balance. Compensation is good too.","Like any big company, some process can be a bit slow. For the most part, all of the systems are much better than my former Fortune 500 tech employer."
Morgan-Stanley,43132, Anonymous Employee,"Current Employee, more than 3 years",,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Client service associate,Keep it up everything is great. Management is doing a great job,Nothing everything is going great
IBM,42151, Anonymous Employee,Current Employee,,4,,,,,,,v,r,v,Client Exec,Interesting role lots of client facing time.  Get to work with all areas of both the IBM and client's business.  Usually working with very smart people on both sides.,"Big company with big company problems.  Sometimes tough to navigate the organization, especially with re-orgs.  The role is sold as ""non-technical"" but a vast majority of relationships are with the CIO."
PwC,43138, Anonymous Employee,Former Employee,,4,,,,,,,o,o,o,Intern,multinational companies with very young collogues,sometimes organisation is not the best
IBM,42937, Sales Manager,"Former Employee, more than 10 years",Santiago,5,4.0,5.0,,4.0,4.0,4.0,v,r,r,Great Company my experiences was excelent I learn a lot .thanks,"You are on top of technology ,R,I&D great place for work ,you can  learn ,understand  and see how the technology move through the years...also you learn to work with different people  from other countries,cultures .this company mark trends in the global market.","You can open your mind to the different changes in the world  ,always you are learning  from different market.the only constant  is the change so you have to keep moving"
Barclays,42492, Anonymous Employee,Current Employee,,3,2.0,1.0,,1.0,2.0,2.0,x,r,x,Barclays,"Reducing population and increasing workload provides opportunity to take on new and interesting challenges 
Able to take initiative if willing to take a risk","Highly political 
Lack of promotion opportunities 
Higher freeze impacts productivity"
Barclays,42767, ,Current Employee,,4,5.0,4.0,,4.0,4.0,4.0,v,v,o,Application Support,"Great Environment, perfect work and life balance",None as of now. Great management
The-Church-of-Jesus-Christ-of-Latter-day-Saints,43089, Finance Manager,"Current Employee, more than 8 years","Salt Lake City, UT",5,5.0,5.0,,5.0,5.0,4.0,v,v,v,Rewarding,"Great atmosphere & benefits, family friendly, peerless co-workers.  The work is often challenging; therefore, stimulating and rewarding.",Perhaps a little too sensitive to the complaints of the vocal minority.
Microsoft,44255, Support Engineer,Current Employee,Tokyo,5,,,,,,,o,o,o,Good,salary is good. benefits are good too.,too big to work smoothly
Compass-Group,44313, Chief Executive Officer (CEO),"Former Employee, more than 10 years","Toronto, ON",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,A great company to work for,Great company to work for across the globe,All is good with this company
Deloitte,41577, Administrative Assistant,"Current Employee, more than 8 years","Chicago, IL",3,2.0,4.0,,2.0,2.0,3.0,x,v,r,Disenchanted,"If you're lucky and aligned with the right group, you can make some great personal/professional relationships.",Internal services is disjointed and disconnected with the rest of the firm.
KPMG,42917, Anonymous Employee,Current Employee,,5,3.0,5.0,,4.0,3.0,4.0,v,v,v,it makes ur CV a brand when u get to work for the big 4 like KPMG it's the one you must not let get out of your hands.,worth-it working for the company.,might loose track of family time.
The-Salvation-Army,40687, Tutor,Current Employee,,3,3.0,,,3.0,3.0,3.0,o,v,o,i liked working in a church,"the church setting is good, if you are into churches. there was alway food around. the rules were pretty straight forward.","its disorganized, had to come up with material from scratch. there's little discipline of co-workers who dont do anything."
PwC,42475, Anonymous Employee,Former Employee,,2,,,,,,,o,o,o,Unprofessional ME entity,Great brand to have on the CV. Some prestigious projects.,Unprofessional environment. Didn't meet many of the expectations you would have when joining a company with such a name. Partners specially in UAE and Saudi Arabia are biased to certain nationalities. There are lots of politics playing between 2 or 3 power groups within the organization. I wouldn't recommend anyone to join this firm for sure.
EY,44351, Auditor,"Current Employee, less than 1 year","Nashville, TN",5,4.0,5.0,5.0,5.0,4.0,5.0,v,v,v,EY,"- people is great!
- Most teams are flexible outside busy season
- Managers-Partners are willing to connect with staff",Don't recommend it if you are not willing to work long hours during busy season.
IBM,42293, Anonymous Employee,"Current Employee, more than 5 years",,4,3.0,4.0,,4.0,3.0,4.0,v,o,v,IBM Employment,"Good Org to learn all functions of BU
Global client exposure
Excellent Personal development (loads of training / events / wellness benefits - both employee & Family)
Very Process-oriented
Manager - driven (both Pros n Cons)","Individual from smaller Organizations will seem lost in the beginning. 
Highly matrix Org - need atleast 2-3 years to completely understand IBM structure / vision
Promotions & hikes are at market standards only (but good on long run)
Manager-centric company (no attendance tagging like other MNCs); but need to be under able Leader for high growth"
Oracle,42865, Associate Applications Developer,"Current Employee, more than 1 year",Pune,4,5.0,5.0,,5.0,3.0,5.0,v,o,o,Good place to work in,"+ WL Balance
+ Dedicated peers
+ Learning opportunities",=- Compensation is not up to the mark.
Apple,43330, French Technical Advisor,"Current Employee, less than 1 year",Cork,5,3.0,3.0,,5.0,5.0,4.0,v,r,v,French customer support agent,"Good pay and perks, a lot of evolution opportunities after a few years, possibility to work from home, good environment and a lot of activities and opportunity for bottom-up management.","The job can get a little repetitive and the public isn't always an easy one. It's a luxury call center, but still a call center. 
The schedules can get a little hard sometime."
McDonald-s,44342, Assistant Manager,Current Employee,Hong Kong,3,,,,,,,o,o,o,Good,"Free lunch
Good colleagues 
Sometimes, you will gat fulfilment","Low salary, heavy workload
Sometimes, the manager will require you do to sth that is your responsibility"
Oracle,42164, Senior Applications Consultant,"Current Employee, more than 1 year",Kuala Lumpur,5,,,,,,,o,o,o,Sr. Application Consultant,good exposure to technology and experience,"working hours, less team members"
Pizza-Hut,43916, Delivery Service Agent,"Former Employee, more than 1 year",,4,4.0,,,3.0,3.0,,x,r,r,Pizza Delivery,able to make own food to eat,they don't really follow SOP
Accenture,41245, Strategy Consultant,"Former Employee, more than 3 years","London, England, England",3,3.0,3.0,,3.0,3.0,2.0,v,v,r,Strategy Consultant,"Global firm, Strong IT presence and global presence","slow progression
Other parts of the business are not as strong IT"
Apple,44344, Anonymous Employee,"Current Employee, more than 3 years",,5,4.0,5.0,4.0,4.0,5.0,4.0,o,o,o,Great job with diverse paths to leadership/headquarters,"great benefits, feedback culture, and pay. there's ton of opportunities to try different areas in the company and see what you're good at / like to do","just like any other job, politics plays a huge role in who gets ahead, although Apple has rolled out new interviewing techniques to try to even the playing field, it doesn't always work"
EY,44168, Technical Architect,Former Employee,Bangalore,5,,,,,,,o,o,o,Excellent,Really good and nice company,No Cons all good about it.
KPMG,43575, Anonymous Employee,"Current Employee, less than 1 year",,5,3.0,5.0,,5.0,3.0,5.0,v,v,v,Great company,Lots of learning opportunities and really helps you prepare for your CPA,You need to be willing to sacrifice pay for experience
McDonald-s,42198, Crew Member,Former Employee,"Dorchester, South West England, England, England",1,1.0,1.0,,1.0,1.0,2.0,x,x,o,Zero Hour Contract,I feel that there is no pro's as it is a very poor place to work even as a start up job.,"Bad Health and safety
Management just sit in office so no support while working."
Goldman-Sachs,42604," Associate, Private Wealth Management",Former Employee,"New York, NY",5,4.0,4.0,,4.0,4.0,4.0,v,v,r,Investment Management Division,Amazing people and good culture compared to rest of wall street.,Large company. Finance is not what it used to be.
IBM,41675, Systems Administrator,"Current Employee, more than 3 years",Bangalore,4,4.0,4.0,,4.0,3.0,3.0,v,v,v,Great company to work for,"flexible working hours, work from home option, open culture, lot of oppurtunities for advancement","too many processess to follow, confusion about which process to follow, hell of a lot of workload, management objectives are not clear"
IBM,44258, Service Delivery Manager,Former Employee,Cairo,4,5.0,5.0,5.0,4.0,3.0,5.0,v,v,v,Very well organized company,"Great Teammates, Management, and work environment.",Lot of reorganizational / structure changes
Deloitte,42585, Anonymous Employee,Former Employee,,3,2.0,3.0,,4.0,4.0,3.0,v,o,v,Staff accountant 2,"Great offices
Good avantages
Great cultural diversity","Long hours
Evaluations based on fixed price and not hours worked. Meaning that you put alot more hours on file and the time is not recognized"
EY,44243, Lead Associate,Current Employee,"Gurgaon, Haryana, Haryana",4,3.0,4.0,4.0,4.0,4.0,3.0,v,r,v,Good place to learn,Learning and good quality of work,Difficult to manage Work-life balance
IBM,44182, Quality Assurance/Metrics and Documentation,"Current Employee, more than 8 years",Bangalore,5,4.0,5.0,5.0,5.0,3.0,4.0,v,v,v,Learning and Knowledge Management,Plenty of Growth opportunities supported by structured Learning Programs,Employees own the career. They have to have some clarity in the area they want to work. Finding a good Mentor or a guide can be a tricky issue in a large organization
BT,40309, Contract Manager,Former Employee,Bangalore,4,5.0,,,3.0,3.0,5.0,v,r,o,Interesting job profiles and good company with work with.,Great pay. Independence in executing one's role. No over accountability.,Bad growth opportunities. Unsatisfactory HR department.
Tesco,44315, Customer Assistant,"Current Employee, more than 3 years","Hookwood, England, England",5,5.0,5.0,5.0,3.0,4.0,4.0,v,r,v,Great place to work as student,The management are always understanding of deadlines and accommodate to students by being more flexible about hours,I cant think of any
University-of-Michigan,44292, Business Analyst,Current Employee,"Ann Arbor, MI",3,,,,,,,o,o,o,Working here is cool,They give you plenty of opportunities to grow.,Not a very diverse place to work.
Blue-Yonder,43683, Solutions Executive,Current Employee,,5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Solutions Executive,"The solution portfolio is impressive by breadth and depth. The vision of an autonomous supply chain is not just a vision but an ultimate goal that seems realistic when having a look at the core solutions and the Blue Yonder acquisition.
The atmosphere is great and there are a lot of highly qualified colleagues.",If it is a contra at all: Expectations are too high for unambitious people who would like to have a 5 days/8 hours job.
Microsoft,42604, ,Former Employee,,4,,,,,,,o,o,o,HR Operations Specialist that includes: all positions that are included in HR & Staffing.,Working within a team that continues to stride in employee & customer benefits & growth. Employee moral to be consistent.,Potential to move up in company is a slow process & many steps to take before proceeding. Don't make employment status inconsistent or not important.
Primark,43517, Retail Sales Associate,"Former Employee, more than 1 year","King of Prussia, PA",1,1.0,1.0,,1.0,1.0,1.0,x,o,o,Needs Better Staff & Management,The breaks are one hour.,"Hostile environment 
Management is very unbecoming 
Supervisors are rude , ghetto, negative, lazy etc"
Microsoft,41463, Software Engineer,"Current Employee, more than 3 years","Fargo, ND",4,5.0,4.0,,4.0,4.0,2.0,v,v,r,Good company to work for,Good salary and nice working environment,Still working on Legacy products. Lacks Innovation.
BNY-Mellon,43692, Lead Business Analyst,"Current Employee, less than 1 year","New York, NY",5,,,,,,,o,o,o,Great place to work,Everyone has been super helpful and kind in getting me acclimated to the company and to the business world in general. Fantastic team with excellent professional support,Coming right out of college it would be nice to have more recent grads here but I am told that they are working on fixing that
McKinsey-and-Company,44033, Senior Analyst,Former Employee,"London, England, England",5,1.0,4.0,,5.0,4.0,4.0,v,v,v,Senior Analyst,"Good learning, work with smart people","Long hours, high working pressure"
Citi,42586, Call Center Customer Service Representative,Current Employee,"Florence, KY",3,3.0,1.0,,3.0,4.0,2.0,x,x,x,Call Center,Good benefits from day 1. Great vacation and sick pay.,"Unprofessional management and staff. Undependable IT systems, inefficient processes and dissemination of information."
Tesco,41990, Checkout Assistant,Former Employee,"Nottingham, England, England",5,5.0,4.0,,3.0,5.0,3.0,v,r,r,Tesco,Very good company to work for. Flexible to a certain extent and gave me hours to fit around my studies. Well paid and good atmosphere and colleagues.,Management can be overruling and think they know it all. Having to deal with general public can be somewhat irritating as if they're having a bad day then they try their best to make sure you do!
Capita,43759, Casehandler,Former Employee,,4,,,,,,,o,o,o,Casehandler,"Training
Non-standard hours
Progression
Work life balance 
Management","None
No cons
Can't think of any
Progression 
Pay"
GlaxoSmithKline,44245, Scientific Leader,"Current Employee, more than 10 years","Charlotte, NC",4,3.0,3.0,4.0,5.0,3.0,4.0,v,x,v,Have been well looked after,Always been given development opportunities and support,Too much politics in decision making
Goldman-Sachs,41107, Project Manager,"Former Employee, less than 1 year",Bangalore,1,1.0,1.0,,2.0,2.0,2.0,x,x,x,Work anywhere else but here..,"If money and riches alone drive you, Goldman Sachs is the right place for you","There is absolutely no work-life balance for most roles. If it is present for some roles, consider those as exceptions. 
Technology application documentation is extremely poor wasting a large amount of time in unproductive activities (""The angels struck them with blindness both great and small so that they were spent in trying to find the door"") 
Lack of process in technology services bordering on chaos. The technology team in India is without power and lacking maturity."
McDonald-s,43965, Food Server,Former Employee,,4,,,,,,,o,o,o,Great workplace!,"Supportive environment, leadership, benefits, flexible hours, support staff","fast paced at times, depends on management"
McDonald-s,43907, Team Member,"Former Employee, more than 1 year","Hanceville, AL",5,4.0,4.0,,4.0,3.0,4.0,v,r,v,Easy Job! Amazing team members make it Easier,"Employee Discounts make lunch break reasonable, Fast Paced, Team members become like a family!",Rude Customers can make days horrible
Grant-Thornton,42116, Anonymous Employee,"Current Employee, more than 8 years",,5,4.0,4.0,,4.0,4.0,4.0,v,o,v,Executive Assistant,Good benefits and salary benefits,Very Conservative and kind of uptight
HSBC-Holdings,43607, Universal Banker,Former Employee,,4,,,,,,,o,o,o,crappy job due to people,quite relaxed in terms of achievements but very dependent on managers,"customers
low salaries
takes long to get to a decent salary"
IBM,44259, Sales Representative,Current Employee,,4,,,,,,,o,o,o,Not bad first job out of college,"- sales commission
- benefits
- Good people on my team","- miscommunications from leadership
- Old-fashioned culture"
Lloyds-Banking-Group,41877, ,Current Employee,,1,1.0,1.0,,1.0,1.0,1.0,o,o,o,Awful employer.,"Reasonable benefits, as company is so large. Share save.",Huge bullying culture exists within the company.
Bloomberg-L-P,40064, ,Current Employee,,2,2.0,,,2.0,3.0,1.0,x,v,o,Run Away!,"Benefits are among the best you will find anywhere.  They have just finished watering bonuses down to average levels, however.","If you enjoy working with the jaded, the condescending, the incompetent, come on down!  Not all management is bad but incompetence is tolerated...."
SAP,44294, Anonymous Employee,Current Employee,,1,,,,,,,o,o,o,Stay away,"free lunch, does not need to commute","stress, work-life balance, treated like a number"
J-P-Morgan,42189, Project Manager,"Current Employee, more than 8 years","Bournemouth, England, England",4,3.0,3.0,,4.0,3.0,3.0,v,o,v,Project Manager,Great learning experience as holds varied fields,Task oriented and could be insensitive to people at times
KPMG,41774, Executive,"Former Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,2.0,3.0,,4.0,3.0,2.0,v,v,v,Potential environment  for beginners,"huge untapped potential to learn
effective learning and development department
productive internal and external trainaings","Poor work life balance
Heavy work load
favoratism"
Deloitte,43456, Anonymous Employee,Current Employee,,5,5.0,5.0,,5.0,5.0,5.0,o,o,o,Sr. Consultant,Work life balance is good,no cons as of now
Salesforce,43689, Anonymous Employee,Current Employee,,5,4.0,4.0,,4.0,4.0,4.0,v,v,v,The place to be!,"Relevant Business proposition for clients, Growth opportunities for the company and its people, and internal teamwork.",So far no minus points
IBM,44228, Account Assistant,"Former Employee, more than 1 year",Bangalore,5,4.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Good,"Atmosphere
Can improve skills and knowledge","No increment
Boring
 Weak management
Poor communication"
IBM,43963, IT Specialist,"Current Employee, more than 5 years",,3,,,,,,,o,o,o,good,very good work life balance,very often stressful high pressure
Bill-and-Melinda-Gates-Foundation,43301, Program Officer,"Current Employee, more than 3 years","Seattle, WA",5,4.0,4.0,,5.0,5.0,5.0,v,v,v,Inspiring place to work,"I'm constantly inspired by the work supported by BMGF, which impacts some of the biggest problems in global health. As a private foundation, they can take controversial stances and innovate in ways you often don't see elsewhere in development. I feel lucky to contribute.

Employees are treated very well. The benefits are amazing","There are the usual office politics, and a lot of credit-seeking driven by individual egos, but I think that is pretty normal in an organization, especially one trying to attract 'the best'. 

Employees are treated very well, sometimes too well (e.g. business class flights), which is uncomfortable when thinking about the geographies we serve and how that money could be better spent."
Deloitte,41835, Assistant Manager,"Former Employee, more than 3 years",Hyderābād,5,5.0,5.0,,5.0,5.0,4.0,v,v,v,Deloitte is certainly one of the best employers in India.,"Excellent Management Support
Coach & Mentors
Excellent Culture
Great Work Life Balance
Total Rewards
World class facilities",Trying hard but cant find any!
Workday,43171, Software Development Engineer,"Current Employee, less than 1 year","Pleasanton, CA",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,New grad,"I love my team. Compared to my previous job at a mid-sized technology company in the Bay Area, Workday employees in general make you feel totally welcome. The culture is more family oriented, rather than obnoxious tech-bro culture, which gives way for a ton of work-life flexibility and balance. Pay is great too, I am making in an entry level position the same amount as my peers in big 4 companies. Stock is also on the rise too, which adds even more to the pay. I have flexibility in the projects that  I can work on, and my manager always makes sure to meet all of my needs.","Could use a higher 401k match, but other than that, nothing to complain about."
McDonald-s,44315, Manager,"Former Employee, more than 3 years","Grand Island, NE",4,4.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Cool,Great cum environment lots of men,Not enough men and cum
The-Salvation-Army,43773, Loading Dock Supervisor,Former Employee,,3,4.0,3.0,,2.0,2.0,2.0,x,r,x,Good enough for now.,Good organization with a good goal.,Disorganized and somewhat chaotic. Most workers are difficult to manage.
EY,43673, Tax Senior,Current Employee,,4,3.0,4.0,,5.0,4.0,4.0,o,o,o,EY Tax Senior,Technical; Flexible working time; Teamwork,Long working hours and long busy season
Citi,41605, Anonymous Employee,"Former Employee, more than 1 year",Moscow,3,3.0,1.0,,3.0,5.0,3.0,x,o,o,ok,Compensation & benefits were very good for almost all employees. Very rapid career growth. ....,"Negative environment. There was no team spirit. Very high turnover among junior staff. Not enough trained local talents in the country, so employees bounce around to raise their positions and salaries."
Aon,43587, Insurance Broker,Former Employee,"Edmonton, AB",4,5.0,4.0,,3.0,4.0,5.0,v,r,v,Aon Reed Stenhouse,"Good work-life balance, Managers are understanding",Pay can be a bit better and not the best commission structure
EY,41880, ,"Current Employee, more than 3 years",,3,1.0,4.0,,5.0,2.0,3.0,o,v,o,Senior Associate- Audit (Assurance),"When I first started working here, I really enjoyed the team I was working on. Everyone was flexible and there was open communication about projects and expectations. Every year, as long as you're a good worker, there is a raise in salary and a promotion. Recently, EY implemented a performance based salary so that is also nice.","The Company really doesn't compensate you enough for the amount of hours you put in. You get a rating each year that determines your raise and they try to be transparent but your final rating is normally lower than the ratings you received on your jobs. Schedules are dictated someone quitting the team, which means they need another worker not necessarily if you want to work on the team."
J-Sainsbury,42434, Anonymous Employee,"Former Employee, more than 1 year","Derby, England, England",3,4.0,3.0,,4.0,1.0,3.0,v,o,r,Sainsburys,It is  possible for staff to progress to being team leaders or managers and staff are helped to achieve this,There are different pay levels for similar jobs within the store for example bakery staff paid a skill wage when only a little training given
King-s-College-London,42372, Anonymous Employee,Former Employee,,4,3.0,4.0,,3.0,4.0,3.0,v,v,v,Working on the IT Service Desk,"Good team of analysts.  Adopted ITIL processes which greatly helped to increase customer satisfaction. Good anunul leave allowance, plus bank holidays.",Salary was not great.  Is well below what you could get at other organisations.  PDR's should be taken a lot more seriously.
McDonald-s,44173, Cashier,Former Employee,,1,3.0,1.0,5.0,1.0,1.0,1.0,x,r,x,Awful,Friendly coworkers and fun to be around,Low pay and rude customers
EY,44198, Senior Consultant,Former Employee,"Dallas, TX",4,,,,,,,o,o,o,Great exposure,"Best travel policy, different projects",Sometimes too much travel. specialization may lack
KPMG,41121, Audit Senior,"Former Employee, more than 1 year",Mumbai,4,3.0,4.0,,4.0,4.0,4.0,v,v,r,Great work environment,"- Drawing of Individual's learning curve by Mentors.
- Work matters atlast.
- Excellent list of clients which lead you for a global exposure",Sometime long working hours disturb work life balance
EY,44326, IT Audit Manager,Current Employee,"London, England, England",4,2.0,4.0,5.0,4.0,3.0,3.0,v,o,v,EY,Good employee culture; Has rewarded employees throughout pandemic,Working hours; Removed any form of overtime if you're not ACCA or ACA qualified
Foreign-and-Commonwealth-Office,43975, Economic Advisor,Current Employee,,5,3.0,5.0,,4.0,4.0,4.0,v,o,r,An amazing place to work,Work on the most important topical questions of the day. You will learn lots incredibly quickly. Given large amounts of responsibility to undertake important high profile pieces of analysis.,"Some travel but less than you might expect. Work life balance is not like other civil service jobs - you do need to put in hours, but is rewarding. IT is slow and clunky."
IBM,44313, Digital Lead,"Current Employee, more than 5 years",Bangalore,5,5.0,5.0,5.0,5.0,3.0,4.0,o,v,o,Amazing Work Culture,People driven company with immense opportunities to learn new techniques and processes in digital strategy,"Too many people in the hierarchy, at times a change in position to an upper level is quite challenging"
Deloitte,44239, Solutions Architect,"Former Employee, more than 1 year",Hyderābād,4,4.0,5.0,2.0,5.0,5.0,4.0,o,o,o,Good,Very good. nothing bad. good management,Nothing. All good with the job
McDonald-s,42327, Manager,"Current Employee, less than 1 year","Cicero, IL",4,3.0,3.0,,3.0,3.0,3.0,v,v,v,Department Manager,"Free Food, Flexibility, Good Store manager, great starting job.","Never closes, Customers are bad, gets very busy and stressful, pay could be better"
Microsoft,42393, Anonymous Employee,"Current Employee, more than 8 years","Redmond, WA",2,2.0,1.0,,4.0,4.0,1.0,x,v,x,All depends on where you work,"Benefits for family, pay when 65+ is solid, flexible hours.","Lots of ""Rest and vest"" people hanging out. Design Studio lost most of its talent and high quality Devs are getting rare, too. Oh yeah, it is a political company."
IBM,43561, Process Owner,"Former Employee, less than 1 year",Pune,3,4.0,3.0,,3.0,3.0,2.0,v,r,r,Work culture,Brand name balanced work life,Poor management poor hike during appraisal
Google,44230, Technical Sourcer,"Current Employee, more than 1 year",,5,4.0,5.0,4.0,4.0,5.0,4.0,o,o,o,Great Place to Work,"Google, as most know, is know for treating employees well.. and they do. I feel truly grateful to be here and enjoy all of the benefits provided.",It can be frustrating to improve processes which require multiple eyes/sign offs. Less visibility in my position.
Nationwide-Building-Society,44078, Mortgage Consultant,Current Employee,"London, England, England",5,4.0,5.0,,2.0,2.0,4.0,v,r,v,All about well being!,Take care of your well being!,Slow career progression for those who want to progress
EBRD,42069, ,Current Employee,,1,2.0,3.0,,2.0,1.0,1.0,x,o,x,ALL depends on how much your manager will fight for you,"multicultural, well educated colleagues, interesting projects",extremely non-transparent in terms of compensation
Sodexo,43031, Anonymous Employee,Former Employee,,2,1.0,3.0,,1.0,1.0,1.0,x,o,r,catering job,"regular pay, friendly cohesive staff",irregular shift and short notice for work
